A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,Time,Type
2,8,10,6,9,7,1,4,5,3,0.00001020007767,bubble
2,8,6,10,9,7,1,4,5,3,0.00003540003672,bubble
2,8,6,9,10,7,1,4,5,3,0.00004060007632,bubble
2,8,6,9,7,10,1,4,5,3,0.00004319997970,bubble
2,8,6,9,7,1,10,4,5,3,0.00004549999721,bubble
2,8,6,9,7,1,4,10,5,3,0.00004760001320,bubble
2,8,6,9,7,1,4,5,10,3,0.00004940002691,bubble
2,8,6,9,7,1,4,5,3,10,0.00005110003985,bubble
2,6,8,9,7,1,4,5,3,10,0.00005400006194,bubble
2,6,8,7,9,1,4,5,3,10,0.00005600007717,bubble
2,6,8,7,1,9,4,5,3,10,0.00005770009011,bubble
2,6,8,7,1,4,9,5,3,10,0.00005939998664,bubble
2,6,8,7,1,4,5,9,3,10,0.00006130000111,bubble
2,6,8,7,1,4,5,3,9,10,0.00006300001405,bubble
2,6,7,8,1,4,5,3,9,10,0.00006520003080,bubble
2,6,7,1,8,4,5,3,9,10,0.00007090007421,bubble
2,6,7,1,4,8,5,3,9,10,0.00007310009096,bubble
2,6,7,1,4,5,8,3,9,10,0.00007469998673,bubble
2,6,7,1,4,5,3,8,9,10,0.00007639999967,bubble
2,6,1,7,4,5,3,8,9,10,0.00007830001414,bubble
2,6,1,4,7,5,3,8,9,10,0.00008000002708,bubble
2,6,1,4,5,7,3,8,9,10,0.00008180004079,bubble
2,6,1,4,5,3,7,8,9,10,0.00008350005373,bubble
2,1,6,4,5,3,7,8,9,10,0.00008540006820,bubble
2,1,4,6,5,3,7,8,9,10,0.00008740008343,bubble
2,1,4,5,6,3,7,8,9,10,0.00008899997920,bubble
2,1,4,5,3,6,7,8,9,10,0.00009089999367,bubble
1,2,4,5,3,6,7,8,9,10,0.00009290000889,bubble
1,2,4,3,5,6,7,8,9,10,0.00009470002260,bubble
1,2,3,4,5,6,7,8,9,10,0.00009680003859,bubble
